Title,Publisher,Published,Downloads,Pages,Category
Woodland Paths,Winthrop Packard,21-Sep,48,128,History
Wildwood Ways,Winthrop Packard,21-Sep,52,112,History
The Seven Lively Arts,Gilbert Seldes,21-Sep,88,339,History
The Tangled Skein,Baroness Orczy,21-Sep,40,370,History
A Sheaf of Bluebells,Baroness Orczy,21-Sep,31,416,History
Pimpernel and Rosemary,Baroness Orczy,21-Sep,39,418,History
The Noble Rogue,Baroness Orczy,21-Sep,40,478,History
The Cat at Light's End,Charlie Dickinson,21-Aug,58,186,History
Playing with Fire: A Story of the Soudan War,James Grant,21-Aug,66,504,History
"Jill, Vol. 2",E. A. Dillwyn,21-Jul,18,171,History
"Jill, Vol. 1",E. A. Dillwyn,21-Jul,21,177,History
Magic London,Netta Syrett,21-Jul,70,221,History
In the Beginning,Ellen G. White,21-May,183,521,History
From Here to Forever,Ellen G. White,21-May,72,458,History
The Nagorno-Karabakh Conflict Between Armenia and Azerbaijan the Roots of Problem and Prospects for a Settlement,Ramiz Mehdiyev,20-Jun,143,60,History
Pogroms And Other Atrocities,Bassam  Imam,20-May,471,89,History
Bible Of The Freeborn American Patriot Book 2,H.L. Dowless,20-Mar,295,285,History
Bible Of The Freeborn American Patriot,H.L. Dowless,20-Mar,556,167,History
The Path of Splitness,Indrek Pringi,20-Feb,828,2771,History
Sports Scandals and Crimes in the United States (selected cases),Michael Erbschloe,19-Aug,262,55,History
The Ugliness of White Supremacy Extremists: Field Notes from 2019,Michael Erbschloe,19-Aug,326,55,History
Modern Cases of Espionage in the United States (1975 – 2008),Michael Erbschloe,19-Aug,573,85,History
Office of the Inspector General: Review of Seven Offices,Michael Erbschloe,19-Jul,48,54,History
"Mount Olympus Ancient Sites, Museums, Monasteries and Churches",Jürgen Weidner,19-May,298,50,History
Wolseley Anzacs,Ben Matthews,19-Mar,289,80,History
Reclaiming the Spoils of Annwfyn: Regia Altera and the landscape of the Mabinogi,Gerard Beggan,19-Mar,80,86,History
The Butterfield Trail Through The Concho Valley and West Texas,Tom Ashmore,19-Jan,324,150,History
"Merrymeeting Forge, Gwennap, UK  - a History",Leonard Szepietowski,18-Aug,124,74,History
The Outstanding Success of the U.S. Securities and Exchange Commission,Michael Erbschloe,18-Feb,264,116,History
Nasty Stuff About North Korea,Michael Erbschloe,18-Feb,871,52,History
Nasty Stuff About Russia,Michael Erbschloe,18-Feb,596,54,History
Trail of Poppies,Phil Brotherton,18-Jan,859,220,History
The Dowager Highlander,Hugh Frazer,17-Aug,242,76,History
U.S. Military Educational Institutions,Michael Erbschloe,17-Feb,448,62,History
Brief Histories of U.S. Government Agencies Volume Five,Michael Erbschloe,17-Feb,357,97,History
Brief Histories of U.S. Government Agencies Volume Four,Michael Erbschloe,17-Feb,254,84,History
Brief Histories of U.S. Government Agencies Volume Three,Michael Erbschloe,17-Feb,261,101,History
Brief Histories of U.S. Government Agencies Volume Two,Michael Erbschloe,17-Feb,360,117,History
Brief Histories of U.S. Government Agencies Volume One,Michael Erbschloe,17-Feb,621,111,History
Naval Warfare in World War Two,Bill Brady,16-Dec,1942,256,History
Victim Zero: The Internet Bullying of Monica Lewinsky,Michael Erbschloe,16-Oct,497,74,History
101 Arabian Hours,Terry J. Walters,16-Oct,388,124,History
US Pacific Victory in World War Two,Bill Brady,16-Sep,1398,155,History
